species_id,name,lat,long,year,period,count,site_name,site_desc
1,Helmeted Honeyeater,-37.8428,145.4829,2017,2011-2020,1,Wandin East VIC 3139,GPN5177-965 Macclesfield Road-Yellingbo: Area 6.11 ha.
1,Helmeted Honeyeater,-37.8416,145.4842,2017,2011-2020,1,Wandin East VIC 3139,GPN5178-989 Macclesfield Rd-Yellingbo: Area 6.54 ha.
1,Helmeted Honeyeater,-37.8451,145.49271,2015,2011-2020,1,Yellingbo Nature Conservation Reserve - Green,Cockatoo Swamp - 1.5km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.8302,145.49771,2015,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8414,145.48016,2015,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.841,145.47968,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.841,145.47916,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Punt,Cockatoo Swamp - 1.2km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.8374,145.47723,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-2,Woori Yallock Creek - 600m south of Middle Creek
1,Helmeted Honeyeater,-37.8452,145.49272,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Green,Cockatoo Swamp - 1.5km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.841,145.47974,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8463,145.49326,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Green,Cockatoo Swamp - 1.5km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.8461,145.49405,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Green,Cockatoo Swamp - 1.5km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.8436,145.49227,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Green,Cockatoo Swamp - 1.5km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.8412,145.47951,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8413,145.47995,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8445,145.49249,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Green,Cockatoo Swamp - 1.5km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.8298,145.49769,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8413,145.47994,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.841,145.47972,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8548,145.4926,2014,2011-2020,1,Nangana VIC 3781,"GPN7064-55 Taylor rd-Yellingbo (was Lot 3, 1180 Macclesfield Road): Area 7.76 ha."
1,Helmeted Honeyeater,-37.8462,145.49389,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Green,Cockatoo Swamp - 1.5km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.8438,145.49227,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Green,Cockatoo Swamp - 1.5km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.8411,145.4798,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori 1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8411,145.4798,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8298,145.49789,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8314,145.49656,2014,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8304,145.49747,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8304,145.49747,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8413,145.47987,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8413,145.47987,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori 1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.831,145.49616,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8299,145.49702,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8417,145.4802,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori 1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8417,145.4802,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori-1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8305,145.49666,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.83,145.49702,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8304,145.4969,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8529,145.50209,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Red,Cockatoo Swamp - 600m east of Giles Road
1,Helmeted Honeyeater,-37.8529,145.50209,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Red,Cockatoo Swamp - 600m east of Giles Road
1,Helmeted Honeyeater,-37.8306,145.49753,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8305,145.49678,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8306,145.49753,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8301,145.49698,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.831,145.49636,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8459,145.4932,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Green,Cockatoo Swamp - 1.5km south of Melbourne Water pipeline
1,Helmeted Honeyeater,-37.8313,145.49644,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8304,145.49679,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8298,145.49709,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8305,145.49661,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8306,145.49766,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.8306,145.49766,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Woori 1,Woori Yallock Creek - 1.5 km south of Shield Road
1,Helmeted Honeyeater,-37.8301,145.49699,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
1,Helmeted Honeyeater,-37.83,145.49787,2013,2011-2020,1,Yellingbo Nature Conservation Reserve - Blue,Cockatoo Swamp - Melbourne Water pipeline vicinity
